Model,Feature Combination,Mean RMSE,RMSE Std,Mean R²,R² Std,Mean MAE,MAE Std
ANN,Composition Only,75.3509,16.3205,0.8657,0.0463,47.4462,4.7113
ANN,Physical Only,69.4774,11.4612,0.8849,0.0342,48.6998,7.0699
ANN,Composition+Physical,64.3785,13.3727,0.8995,0.0360,42.2288,6.1081
RF,Composition Only,80.9409,23.0999,0.8396,0.0769,54.7633,9.8436
RF,Physical Only,75.1501,12.9603,0.8663,0.0367,52.2492,8.1440
RF,Composition+Physical,72.0356,15.1902,0.8759,0.0429,49.3414,8.9120
SVR,Composition Only,75.0896,16.8161,0.8627,0.0533,52.9067,9.3038
SVR,Physical Only,72.5308,8.2938,0.8755,0.0275,51.5886,4.7830
SVR,Composition+Physical,74.2899,16.2640,0.8690,0.0479,51.3604,7.3004
GBR,Composition Only,79.6707,25.3857,0.8411,0.0862,50.0108,10.6837
GBR,Physical Only,74.9352,12.0420,0.8667,0.0370,50.2486,8.4045
GBR,Composition+Physical,66.3441,14.9108,0.8934,0.0435,42.7202,9.1979
